IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
151.145.65.203,2086,2086,false,NRT,Asia Pacific,Tokyo,151,6.61
131.186.37.49,2052,2052,false,NRT,Asia Pacific,Tokyo,136,5.53
155.248.166.39,2095,2095,false,NRT,Asia Pacific,Tokyo,130,5.39
131.186.58.151,2086,2086,false,NRT,Asia Pacific,Tokyo,131,4.84
138.2.76.91,8880,8880,false,SIN,Asia Pacific,Singapore,269,4.77
151.145.71.40,8080,8080,false,NRT,Asia Pacific,Tokyo,64,4.76
132.145.123.159,80,80,false,NRT,Asia Pacific,Tokyo,152,4.62
155.248.165.169,8880,8880,false,NRT,Asia Pacific,Tokyo,81,4.56
131.186.47.223,2096,2096,true,NRT,Asia Pacific,Tokyo,60,4.47
140.238.51.89,8880,8880,false,NRT,Asia Pacific,Tokyo,68,4.42
158.179.186.138,2082,2082,false,NRT,Asia Pacific,Tokyo,161,4.28
155.248.165.169,2095,2095,false,NRT,Asia Pacific,Tokyo,160,4.12
138.2.9.66,8443,8443,true,NRT,Asia Pacific,Tokyo,62,4.01
131.186.61.45,2096,2096,true,NRT,Asia Pacific,Tokyo,146,3.96
158.101.81.4,2082,2082,false,NRT,Asia Pacific,Tokyo,64,3.85
150.230.109.252,8443,8443,true,NRT,Asia Pacific,Tokyo,73,3.83
141.147.179.64,8880,8880,false,NRT,Asia Pacific,Tokyo,54,3.81
158.179.189.106,2095,2095,false,NRT,Asia Pacific,Tokyo,161,3.77
158.179.178.145,8880,8880,false,NRT,Asia Pacific,Tokyo,163,3.76
131.186.41.82,2082,2082,false,NRT,Asia Pacific,Tokyo,96,3.75
138.3.212.144,2083,2083,true,NRT,Asia Pacific,Tokyo,59,3.75
131.186.44.38,2087,2087,true,NRT,Asia Pacific,Tokyo,65,3.71
151.145.65.8,2087,2087,true,NRT,Asia Pacific,Tokyo,69,3.70
141.147.162.204,8080,8080,false,NRT,Asia Pacific,Tokyo,66,3.67
132.226.6.5,2082,2082,false,NRT,Asia Pacific,Tokyo,121,3.59
138.3.212.144,2053,2053,true,NRT,Asia Pacific,Tokyo,98,3.59
151.145.71.127,2082,2082,false,NRT,Asia Pacific,Tokyo,155,3.57
141.147.189.242,2082,2082,false,NRT,Asia Pacific,Tokyo,137,3.56
151.145.71.40,8880,8880,false,NRT,Asia Pacific,Tokyo,63,3.46
140.238.41.167,2082,2082,false,NRT,Asia Pacific,Tokyo,170,3.45
131.186.37.49,2082,2082,false,NRT,Asia Pacific,Tokyo,143,3.43
158.179.189.235,2083,2083,true,NRT,Asia Pacific,Tokyo,124,3.39
132.226.6.5,8080,8080,false,NRT,Asia Pacific,Tokyo,158,3.33
131.186.34.11,8880,8880,false,NRT,Asia Pacific,Tokyo,59,3.32
152.70.102.124,2052,2052,false,HKG,Asia Pacific,Hong Kong,221,3.23
150.230.219.83,8080,8080,false,NRT,Asia Pacific,Tokyo,137,3.19
131.186.38.135,8080,8080,false,NRT,Asia Pacific,Tokyo,146,3.15
141.147.162.204,2082,2082,false,NRT,Asia Pacific,Tokyo,68,3.12
158.178.242.5,80,80,false,SIN,Asia Pacific,Singapore,320,3.09
168.138.194.121,2053,2053,true,NRT,Asia Pacific,Tokyo,114,3.07
158.179.186.234,2095,2095,false,NRT,Asia Pacific,Tokyo,65,3.05
158.179.188.7,8080,8080,false,NRT,Asia Pacific,Tokyo,150,3.04
158.101.94.15,2052,2052,false,NRT,Asia Pacific,Tokyo,59,3.02
141.147.186.210,2087,2087,true,NRT,Asia Pacific,Tokyo,141,2.98
155.248.160.116,2086,2086,false,NRT,Asia Pacific,Tokyo,82,2.96
140.238.44.118,8443,8443,true,NRT,Asia Pacific,Tokyo,149,2.96
158.179.180.233,2095,2095,false,NRT,Asia Pacific,Tokyo,166,2.94
158.179.188.175,2087,2087,true,NRT,Asia Pacific,Tokyo,64,2.92
138.2.7.72,2053,2053,true,NRT,Asia Pacific,Tokyo,148,2.77
140.238.41.167,8080,8080,false,NRT,Asia Pacific,Tokyo,132,2.76
158.179.188.159,80,80,false,NRT,Asia Pacific,Tokyo,67,2.74
132.226.6.5,2083,2083,true,NRT,Asia Pacific,Tokyo,73,2.74
158.101.81.4,2096,2096,true,NRT,Asia Pacific,Tokyo,71,2.73
151.145.71.40,80,80,false,NRT,Asia Pacific,Tokyo,151,2.72
155.248.160.116,2083,2083,true,NRT,Asia Pacific,Tokyo,150,2.70
131.186.59.94,2053,2053,true,NRT,Asia Pacific,Tokyo,163,2.69
141.147.178.202,2083,2083,true,NRT,Asia Pacific,Tokyo,109,2.66
132.145.121.125,2096,2096,true,NRT,Asia Pacific,Tokyo,67,2.64
140.238.51.89,2086,2086,false,NRT,Asia Pacific,Tokyo,142,2.62
131.186.38.135,2082,2082,false,NRT,Asia Pacific,Tokyo,62,2.62
158.179.188.159,8080,8080,false,NRT,Asia Pacific,Tokyo,62,2.61
151.145.68.166,2052,2052,false,NRT,Asia Pacific,Tokyo,67,2.61
131.186.61.45,2095,2095,false,NRT,Asia Pacific,Tokyo,134,2.60
158.179.188.7,2083,2083,true,NRT,Asia Pacific,Tokyo,148,2.56
131.186.41.82,2052,2052,false,NRT,Asia Pacific,Tokyo,139,2.55
158.179.186.234,80,80,false,NRT,Asia Pacific,Tokyo,70,2.55
150.230.205.56,8080,8080,false,NRT,Asia Pacific,Tokyo,106,2.53
168.138.194.121,2086,2086,false,NRT,Asia Pacific,Tokyo,113,2.53
131.186.63.35,2083,2083,true,NRT,Asia Pacific,Tokyo,147,2.52
